concentration,E/V
2e-05,3.57324e-05
2e-05,3.59391e-05
2e-05,3.61769e-05
2e-05,3.63777e-05
2e-05,3.65947e-05
2e-05,3.68844e-05
2e-05,3.71497e-05
2e-05,3.73607e-05
2e-05,3.76669e-05
2e-05,3.80015e-05
2e-05,3.83775e-05
2e-05,3.87844e-05
2e-05,3.92181e-05
2e-05,3.96281e-05
2e-05,4.00956e-05
2e-05,4.05678e-05
2e-05,4.10594e-05
2e-05,4.16045e-05
2e-05,4.26917e-05
2e-05,4.31053e-05
2e-05,4.34595e-05
2e-05,4.41053e-05
2e-05,4.46262e-05
2e-05,4.52246e-05
2e-05,4.57977e-05
2e-05,4.63699e-05
2e-05,4.695e-05
2e-05,4.75588e-05
2e-05,4.81692e-05
2e-05,4.8803e-05
2e-05,4.9464e-05
2e-05,5.01837e-05
2e-05,5.08101e-05
2e-05,5.14396e-05
2e-05,5.2311e-05
2e-05,5.28765e-05
2e-05,5.35259e-05
2e-05,5.42354e-05
2e-05,5.49518e-05
2e-05,5.56826e-05
2e-05,5.64456e-05
2e-05,5.72246e-05
2e-05,5.80018e-05
2e-05,5.88043e-05
2e-05,5.96446e-05
2e-05,6.05041e-05
2e-05,6.13492e-05
2e-05,6.22956e-05
2e-05,6.31494e-05
2e-05,6.40612e-05
2e-05,6.50013e-05
2e-05,6.59726e-05
2e-05,6.69805e-05
2e-05,6.63208e-05
2e-05,6.53276e-05
2e-05,6.58018e-05
2e-05,6.67807e-05
2e-05,6.77218e-05
2e-05,6.87798e-05
2e-05,6.96413e-05
2e-05,7.07845e-05
2e-05,7.17933e-05
2e-05,7.29161e-05
2e-05,7.4061e-05
2e-05,7.52296e-05
2e-05,7.64093e-05
2e-05,7.76239e-05
2e-05,7.888e-05
2e-05,8.01654e-05
2e-05,8.15029e-05
2e-05,8.28917e-05
2e-05,8.43243e-05
2e-05,8.5821e-05
2e-05,8.7381e-05
2e-05,8.89656e-05
2e-05,9.06124e-05
2e-05,9.23113e-05
2e-05,9.40463e-05
2e-05,9.58534e-05
2e-05,9.76874e-05
2e-05,9.95635e-05
2e-05,0.000101486
2e-05,0.000103395
2e-05,0.000105343
2e-05,0.000107319
2e-05,0.000109324
2e-05,0.000111358
2e-05,0.000113417
2e-05,0.000115484
2e-05,0.000117589
2e-05,0.000119711
2e-05,0.000121851
2e-05,0.000124026
2e-05,0.000126222
2e-05,0.000128528
2e-05,0.00013056
2e-05,0.000132772
2e-05,0.000134996
2e-05,0.000137275
2e-05,0.000139596
2e-05,0.000141972
2e-05,0.000144409
2e-05,0.000146929
2e-05,0.000149482
2e-05,0.000152131
2e-05,0.000154863
2e-05,0.00015768
2e-05,0.000160598
2e-05,0.000163579
2e-05,0.000166666
2e-05,0.000169792
2e-05,0.000172995
2e-05,0.000176308
2e-05,0.000179739
2e-05,0.000183176
2e-05,0.000186699
2e-05,0.000190314
2e-05,0.000194159
2e-05,0.000197749
2e-05,0.000201497
2e-05,0.000205311
2e-05,0.00020919
2e-05,0.000213105
2e-05,0.000217526
2e-05,0.000221512
2e-05,0.000225508
2e-05,0.000229534
2e-05,0.000233585
2e-05,0.000237644
2e-05,0.000241719
2e-05,0.000245803
2e-05,0.000249887
2e-05,0.000253966
2e-05,0.000258007
2e-05,0.000262287
2e-05,0.000266207
2e-05,0.00027025
2e-05,0.000274285
2e-05,0.000278312
2e-05,0.000282298
2e-05,0.00028629
2e-05,0.000290134
2e-05,0.000294018
2e-05,0.000297906
2e-05,0.000301704
2e-05,0.000305511
2e-05,0.00030926
2e-05,0.000312919
2e-05,0.00031659
2e-05,0.000320248
2e-05,0.000323806
2e-05,0.000327406
2e-05,0.00033092
2e-05,0.000334369
2e-05,0.000337754
2e-05,0.000341091
2e-05,0.000344423
2e-05,0.000347682
2e-05,0.000350923
2e-05,0.000354093
2e-05,0.000357272
2e-05,0.00036047
2e-05,0.000363572
2e-05,0.000366679
2e-05,0.000369802
2e-05,0.000372767
2e-05,0.000375812
2e-05,0.000378742
2e-05,0.000381687
2e-05,0.000384761
2e-05,0.000387654
2e-05,0.000390627
2e-05,0.000382529
2e-05,0.000374828
2e-05,0.000367344
2e-05,0.000360182
2e-05,0.00035293
2e-05,0.000346002
2e-05,0.000339179
2e-05,0.000332446
2e-05,0.00032574
2e-05,0.000319284
2e-05,0.00031293
2e-05,0.000307049
2e-05,0.000300451
2e-05,0.000294469
2e-05,0.000288525
2e-05,0.000282692
2e-05,0.000276968
2e-05,0.000271329
2e-05,0.000265774
2e-05,0.000260308
2e-05,0.000254842
2e-05,0.000249482
2e-05,0.000244281
2e-05,0.000239141
2e-05,0.000234136
2e-05,0.000229142
2e-05,0.000224252
2e-05,0.000219418
2e-05,0.00021477
2e-05,0.000210007
2e-05,0.000205362
2e-05,0.000200846
2e-05,0.000196364
2e-05,0.000191974
2e-05,0.00018768
2e-05,0.000183389
2e-05,0.000179222
2e-05,0.000175071
2e-05,0.000170999
2e-05,0.000166939
2e-05,0.000163
2e-05,0.000159114
2e-05,0.000155239
2e-05,0.000151467
2e-05,0.000147738
2e-05,0.000144054
2e-05,0.000140426
2e-05,0.000136879
2e-05,0.000133359
2e-05,0.000129969
2e-05,0.000126599
2e-05,0.000123252
2e-05,0.000120011
2e-05,0.000116779
2e-05,0.000113614
2e-05,0.000110425
2e-05,0.000107313
2e-05,0.000104281
2e-05,0.000101305
2e-05,9.83729e-05
2e-05,9.54893e-05
2e-05,9.27033e-05
2e-05,8.99453e-05
2e-05,8.72231e-05
2e-05,8.47062e-05
2e-05,8.19902e-05
2e-05,7.94054e-05
2e-05,7.69328e-05
2e-05,7.44599e-05
2e-05,7.22089e-05
2e-05,6.97338e-05
2e-05,6.74525e-05
2e-05,6.51776e-05
2e-05,6.31704e-05
2e-05,6.08932e-05
2e-05,5.88128e-05
2e-05,5.6785e-05
2e-05,5.47838e-05
2e-05,5.28616e-05
2e-05,5.09939e-05
2e-05,4.91449e-05
2e-05,4.73729e-05
2e-05,4.56291e-05
2e-05,4.39773e-05
2e-05,4.23897e-05
2e-05,4.08108e-05
2e-05,3.92956e-05
2e-05,3.78339e-05
2e-05,3.64115e-05
2e-05,3.4612e-05
2e-05,3.32918e-05
2e-05,3.20229e-05
2e-05,3.08186e-05
2e-05,2.96373e-05
2e-05,2.85129e-05
2e-05,2.74347e-05
2e-05,2.64051e-05
2e-05,2.54179e-05
2e-05,2.44787e-05
2e-05,2.35727e-05
2e-05,2.27156e-05
2e-05,2.18979e-05
2e-05,2.10973e-05
2e-05,2.03549e-05
2e-05,1.97174e-05
2e-05,1.91319e-05
